row,x
1,9
2,6
3,3
4,6
5,6
6,0
7,0
8,0
9,6
10,9
11,6
12,2
13,3
14,4
15,0
16,3
17,1
18,2
19,9
20,6
21,2
22,2
23,4
24,9
25,6
26,2
27,0
28,5
29,8
30,3
31,7
32,0
33,5
34,0
35,7
36,9
37,5
38,0
39,0
40,7
41,0
42,8
43,1
44,0
45,7
46,1
47,0
48,4
49,2
50,0
51,8
52,5
53,1
54,2
55,0
56,6
57,5
58,9
59,2
60,0
61,9
62,0
63,4
64,2
65,0
66,9
67,1
68,2
69,2
70,1
71,8
72,3
73,7
74,2
75,0
76,9
77,0
78,1
79,2
80,1
81,2
82,0
83,7
84,2
85,0
86,6
87,7
88,8
89,2
90,0
91,9
92,0
93,4
94,8
95,2
96,0
97,7
98,0
99,0
100,9
101,0
102,6
103,7
104,3
105,0
106,7
107,2
108,8
109,9
110,4
111,3
112,3
113,9
114,9
115,7
116,0
117,5
118,9
119,9
120,6
121,8
122,5
123,2
124,0
125,6
126,8
127,5
128,6
129,1
130,4
131,8
132,4
133,0
134,1
135,2
136,9
137,0
138,0
139,7
140,7
141,9
142,6
143,6
144,3
145,3
146,2
147,7
148,5
149,0
150,9
151,6
152,2
153,2
154,4
155,8
156,9
157,1
158,0
159,1
160,0
161,0
162,9
163,0
164,6
165,9
166,2
167,9
168,0
169,3
170,3
171,4
172,0
173,9
174,0
175,4
176,0
177,8
178,6
179,0
180,4
181,1
182,0
183,4
184,0
185,4
186,0
187,6
188,4
189,1
190,4
191,1
192,0
193,1
194,0
195,4
196,5
197,7
198,2
199,3
200,6
201,3
202,1
203,8
204,0
205,5
206,0
207,1
208,8
209,0
210,0
211,1
212,3
213,8
214,0
215,2
216,0
217,6
218,8
219,0
220,9
221,0
222,9
223,8
224,0
225,3
226,2
227,1
228,8
229,0
230,3
231,2
232,2
233,4
234,6
235,2
236,9
237,6
238,4
239,1
240,5
241,2
242,5
243,5
244,1
245,6
246,4
247,5
248,5
249,1
250,0
251,1
252,8
253,4
254,8
255,8
256,4
257,6
258,0
259,4
260,8
261,4
262,7
263,7
264,0
265,8
266,4
267,0
268,9
269,3
270,8
271,4
272,6
273,0
274,1
275,2
276,3
277,6
278,6
279,6
280,3
281,3
282,2
283,0
284,6
285,6
286,8
287,2
288,0
289,1
290,7
291,9
292,9
293,7
294,3
295,7
296,9
297,9
298,6
299,6
300,7
301,9
302,9
303,7
304,9
305,9
306,7
307,5
308,6
309,8
310,2
311,7
312,5
313,6
314,8
315,1
316,0
317,1
318,1
319,1
320,6
321,7
322,6
323,8
324,5
325,0
326,9
327,4
328,8
329,1
330,8
331,6
332,8
333,5
334,0
335,8
336,9
337,0
338,0
339,6
340,4
341,4
342,1
343,3
344,1
345,6
346,4
347,1
348,4
349,1
350,9
351,0
352,5
353,2
354,4
355,7
356,0
357,0
358,0
359,1
360,1
361,0
362,0
363,1
364,8
365,1
366,0
367,0
368,0
369,7
370,1
371,0
372,0
373,1
374,7
375,1
376,0
377,0
378,2
379,0
380,1
381,3
382,9
383,3
384,1
385,0
386,1
387,0
388,8
389,1
390,0
391,1
392,0
393,1
394,1
395,0
396,0
397,0
398,1
399,1
400,0
401,1
402,6
403,3
404,1
405,0
406,0
407,2
408,2
409,1
410,0
411,0
412,2
413,1
414,1
415,0
416,0
417,5
418,4
419,1
420,0
421,0
422,1
423,0
424,1
425,0
426,0
427,0
428,3
429,1
430,0
431,0
432,3
433,6
434,8
435,9
436,1
437,6
438,5
439,8
440,9
441,1
442,0
443,8
444,0
445,0
446,3
447,0
448,2
449,5
450,7
451,1
452,1
453,7
454,0
455,2
456,8
457,8
458,7
459,0
460,4
461,9
462,5
463,0
464,2
465,8
466,8
467,9
468,1
469,6
470,9
471,2
472,0
473,9
474,7
475,0
476,0
477,8
478,9
479,7
480,0
481,7
482,5
483,4
484,7
485,5
486,0
487,1
488,9
489,6
490,5
491,2
492,4
493,0
494,0
495,4
496,4
497,4
498,8
499,8
500,8
501,3
502,4
503,0
504,1
505,6
506,0
507,4
508,2
509,7
510,3
511,8
512,4
513,0
514,1
515,1
516,7
